id;placed_date;status;total_price;payment_method;payment_reference;customer_details_id
1;2023-12-12T14:50:29;PAID;7893.63;IDEAL;cleverly;1
2;2023-12-12T21:28:47;PAID;31838.34;IDEAL;before feline;2
3;2023-12-13T03:55:43;PAID;989.7;CREDIT_CARD;but barring;2
4;2023-12-13T00:25:30;COMPLETED;2236.56;IDEAL;within that;1
5;2023-12-12T23:34:49;REFUNDED;16463.74;IDEAL;since;2
6;2023-12-13T01:32:16;REFUNDED;16745.77;IDEAL;rumble squish near;1
7;2023-12-13T04:19:30;CANCELLED;8741.98;CREDIT_CARD;meh arthur;2
8;2023-12-13T06:58:49;REFUNDED;9514.6;IDEAL;trafficker;2
9;2023-12-13T03:12:13;REFUNDED;25220.18;IDEAL;unequaled liquid;1
10;2023-12-13T00:42:02;PAID;14820.31;IDEAL;jumpy past;1
